Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,NVDA,SPY,NVDA,SPY,NVDA,SPY,NVDA,SPY,NVDA,SPY,NVDA,SPY
Date,,,,,,,,,,,,
